5, 4.503551959991455
10, 8.102911949157715
15, 11.982848167419434
20, 15.849472045898438
25, 19.009536743164062
30, 23.348224639892575
35, 25.978879928588867
40, 29.473791122436523
45, 33.148929595947266
50, 37.75385665893555
55, 40.54220962524414
60, 42.744895935058594
65, 44.77030563354492
70, 49.1673583984375
75, 51.29830551147461
80, 57.14534378051758
85, 62.41279983520508
90, 63.53203201293945
95, 66.18931579589844
100, 70.5976333618164
120, 88.13568115234375
140, 101.65555572509766
160, 117.13843536376952
180, 136.51353454589844
200, 143.0128631591797
220, 159.1715850830078
240, 172.42623901367188
260, 183.67385864257807
280, 193.57696533203125
300, 211.73350524902344
350, 251.5773468017578
400, 281.4259338378906
450, 320.3655700683594
500, 347.1073303222656
550, 385.72747802734375
600, 426.5461730957031
650, 473.3235168457031
700, 508.53070068359375
750, 545.48583984375
800, 603.420654296875
850, 627.6925659179688
900, 692.3427734375
950, 708.980712890625
1000, 776.247314453125
1050, 771.8369140625
